Labels,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61
1,0.186915888,0.982832618,0.616027099,0.750076593,0.453834121,0.084033249,0.512405702,0.467148259,0.414964768,0.385949511,0.92693485,0.863465849,0.765113825,0.680991646,0.093142606,0.082531624,0.074781346,0.070937054,0.319942844,0.275862396,0.250511667,0.260479993,0.831858317,0.82308516,0.822235348,0.81390663,0.497114622,0.497736072,0.497583291,0.496486697,0.327287485,0.284824126,0.274109841,0.285336443,0.651659887,0.654808309,0.657552718,0.659867025,0.547505266,0.54647172,0.548452804,0.528943065,0.865093243,0.875164532,0.883889566,0.886792838,0.766546818,0.78862142,0.73102706,0.776223185,0.500215245,0.10417852,0.193256189,0.380390377,0.251935319,0.133737462,0.497543387,0.115219695,0.417484423,0.042118072,0.059402477
1,0.186915888,0.879828326,0.439454195,0.78388741,0.571428605,0.058787289,0.520476144,0.476619031,0.409989489,0.371797001,0.940022965,0.889126334,0.821960556,0.778107916,0.0659257,0.063845491,0.066927128,0.071883634,0.325888811,0.306946952,0.296238884,0.317189232,0.839536662,0.822610135,0.805509014,0.787646846,0.287373856,0.282840567,0.278506719,0.273277813,0.330876934,0.312860505,0.317888286,0.338145303,0.454023479,0.452772648,0.451706493,0.450060508,0.630087946,0.636368432,0.648171303,0.639098569,0.875050907,0.879936306,0.880293848,0.877154976,0.764181301,0.775843774,0.706738103,0.748278631,0.573928002,0.1095503,0.221265515,0.388561053,0.226177098,0.347522476,0.264367403,0.335086011,0.276050231,0.024322303,0.157224855
1,0.509345794,0.86695279,0.664264484,0.316758513,0.478306134,0.14324721,0.269043304,0.207813387,0.150274458,0.120124324,0.764953832,0.641983029,0.525548063,0.467824517,0.338552425,0.305992795,0.294230705,0.28951397,0.607141958,0.564483435,0.56388236,0.579500911,0.494782634,0.492232627,0.485631935,0.478726087,0.53134028,0.53023415,0.528203525,0.52599543,0.614852616,0.581648725,0.595578202,0.615146962,0.69357852,0.694397903,0.694514842,0.694713763,0.106724045,0.100407333,0.101617649,0.099569294,0.522134119,0.541110296,0.550658781,0.55388681,0.541471236,0.552033887,0.484135832,0.494470959,0.547410922,0.101678408,0.222012554,0.406718112,0.312173947,0.144932811,0.382766157,0.152267445,0.336905599,0.036433333,0.056038078
1,0.574766355,0.927038627,0.738770901,0.380053252,0.518662795,0.075719437,0.266361321,0.212681654,0.17483552,0.152854228,0.856382994,0.775744265,0.650932108,0.565720926,0.238257708,0.202526651,0.181791528,0.172086238,0.590882768,0.531541542,0.485060024,0.479194333,0.566971619,0.56678725,0.567064306,0.562251049,0.643811834,0.646099073,0.648521962,0.651465384,0.600714812,0.552026202,0.5230635,0.521685625,0.772713573,0.77382637,0.774875392,0.775754211,0.166983436,0.162901102,0.160192698,0.153506055,0.612020906,0.640811371,0.649359723,0.645806639,0.540246879,0.556626828,0.514429312,0.542343516,0.536530405,0.063854422,0.245637371,0.468906037,0.353991802,0.103752289,0.449084032,0.086390288,0.384716698,0.028215272,0.035773337
1,0.490654206,0.888412017,0.680064095,0.536053587,0.477796471,0.02308041,0.253269815,0.205228253,0.174095846,0.165239157,0.939364904,0.910403123,0.864480927,0.824630711,0.160803269,0.140963374,0.129068634,0.120839556,0.609458405,0.539609912,0.497123584,0.487464397,0.633880322,0.63002349,0.630034501,0.632371441,0.562879487,0.566122089,0.569660942,0.573354546,0.618994105,0.560589342,0.533045704,0.523869828,0.707520812,0.706489831,0.705101329,0.703429719,0.306424368,0.318867548,0.3324802,0.333720019,0.693685407,0.731694127,0.749246634,0.756106302,0.521931147,0.541025375,0.507084285,0.554490139,0.500592324,0.072551567,0.220355696,0.438492964,0.217151213,0.17849938,0.465553029,0.152153309,0.384860284,0.033420915,0.060370849
1,0.635514019,0.9527897,0.779780981,0.500294724,0.426697123,0.013834491,0.294711962,0.249634578,0.219982871,0.202405808,0.918415526,0.866727217,0.773919125,0.705542933,0.123696884,0.094693226,0.082346348,0.080051822,0.545554688,0.437404241,0.37670881,0.379312477,0.667636833,0.673100566,0.677939949,0.676082574,0.716515532,0.713580433,0.710495287,0.706294545,0.5566507,0.463299102,0.42029336,0.424393265,0.820205522,0.82010435,0.820196281,0.820017369,0.291336267,0.297460684,0.298307992,0.29094451,0.723877757,0.764076652,0.770651583,0.770132247,0.570484845,0.588935494,0.55459902,0.596187563,0.538262927,0.070347773,0.236617714,0.448479346,0.201537782,0.2169185,0.496055639,0.198682155,0.426789693,0.034329773,0.071837303
1,0.509345794,0.78111588,0.601489464,0.260886937,0.500462362,0.062150043,0.183660723,0.143982315,0.111301437,0.096196735,0.799554363,0.694018835,0.561614099,0.468621029,0.354277849,0.313605071,0.288609248,0.267965484,0.721579464,0.675321597,0.649048241,0.635107474,0.399970109,0.403635458,0.40473405,0.408786647,0.44996359,0.449548925,0.449568638,0.450069707,0.727910833,0.690284451,0.6772294,0.668859279,0.629256281,0.629870412,0.630692651,0.631891115,0.085054408,0.082362085,0.082750612,0.081246008,0.431678039,0.459923266,0.473994835,0.483379746,0.428426109,0.452225106,0.414166363,0.439339244,0.528188886,0.061969819,0.249999654,0.478438493,0.395497396,0.150273678,0.30128258,0.125522949,0.274799326,0.018567424,0.053644606
1,0.546728972,0.854077253,0.68467612,0.379903884,0.474460979,0.047315206,0.302304791,0.246022638,0.208093588,0.186153554,0.834601882,0.743877487,0.597676412,0.486686755,0.175152387,0.1379129,0.118702243,0.109825989,0.533846561,0.464794982,0.413159296,0.402696242,0.583376273,0.592196465,0.599795366,0.600853519,0.562593643,0.562906406,0.563674343,0.566782176,0.545228445,0.487519012,0.453575292,0.447466073,0.714793941,0.715990986,0.717946727,0.721399792,0.167589937,0.168158101,0.168996737,0.162784312,0.623304903,0.654741023,0.66373202,0.66319997,0.579480896,0.595196235,0.550485898,0.579974446,0.689796897,0.035392007,0.403987234,0.615070359,0.366791987,0.133979341,0.435124121,0.156436381,0.484757189,0.017393365,0.025828966
1,0.528037383,0.875536481,0.696515451,0.304110219,0.45047073,0.117020098,0.245897423,0.19017649,0.151399541,0.128143684,0.763463087,0.631678155,0.425012712,0.28234823,0.358521511,0.318317705,0.305134008,0.307316045,0.624049501,0.558211723,0.522800869,0.543022878,0.472186196,0.468797141,0.460553775,0.44878142,0.57144017,0.56842277,0.56497257,0.561516989,0.632914517,0.579855057,0.561101351,0.582626612,0.724444599,0.723929492,0.722916463,0.72184399,0.096952589,0.088934853,0.081940935,0.074545011,0.504884853,0.529169726,0.522667119,0.50432456,0.51582287,0.522808507,0.478811771,0.505681325,0.505238101,0.063971328,0.239534054,0.464366773,0.393607315,0.081154626,0.487868202,0.061536255,0.42253342,0.026877416,0.033550589
1,0.771028037,0.961373391,0.838761769,0.253881791,0.397928908,0.069611551,0.177121093,0.140491176,0.112967649,0.100360634,0.853921397,0.774187691,0.657096481,0.56968339,0.347574871,0.309025462,0.288408465,0.266614276,0.726879595,0.67163347,0.640266869,0.618615428,0.451168699,0.455478251,0.456384506,0.460424719,0.793375099,0.794822468,0.796457261,0.797622948,0.733548268,0.687912704,0.669494498,0.653959897,0.874528661,0.876112922,0.877837657,0.879283589,0.109775808,0.108296427,0.107828287,0.105538258,0.493391551,0.531561803,0.546536014,0.558137906,0.418195189,0.444907764,0.418021347,0.44889408,0.498483936,0.106772285,0.189712855,0.377666818,0.229747159,0.173584645,0.428174396,0.168639871,0.341563517,0.04491671,0.067055159
