Labels,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18
1,0.268074754,0.215762071,0.151664266,0.12099032,0.534894519,0.557728022,0.593573628,0.093155506,0.090631862,0.088331266,0.083573486,0.563345932,0.065845985,0.257296551,0.468452111,0.237642444,0.014301851,0.069374784
1,0.269588306,0.176538094,0.126994199,0.102863718,0.6082782,0.623049455,0.640135281,0.101382771,0.098911727,0.098981732,0.097711111,0.571378281,0.062628743,0.269751253,0.485701316,0.401171373,0.025448405,0.033198152
1,0.2495974,0.195467559,0.14192393,0.117122995,0.565948734,0.584795426,0.605205373,0.097336329,0.095362859,0.096892256,0.096160399,0.468291824,0.091321471,0.194334801,0.402178847,0.332635512,0.036155095,0.0414891
1,0.363182177,0.188690642,0.145972671,0.129175762,0.580130591,0.567225607,0.553373898,0.160746718,0.16149553,0.164053179,0.162511203,0.511963997,0.066420351,0.226688577,0.448479346,0.228584056,0.015117701,0.081637934
1,0.430169926,0.214771506,0.166640713,0.151371358,0.529005671,0.521326948,0.509629173,0.213513657,0.217154832,0.222772928,0.218165556,0.581959389,0.047698321,0.299658813,0.532001816,0.458224709,0.019571723,0.047312778
1,0.421777376,0.178519225,0.133075096,0.113231945,0.601838286,0.607574901,0.614739591,0.194334044,0.199925736,0.208036058,0.209241565,0.540430033,0.07867182,0.235193197,0.438946891,0.587574561,0.053508628,0.031241795
1,0.408933453,0.169761177,0.134496049,0.121049635,0.621422756,0.600588308,0.58462013,0.18714721,0.190573703,0.195894795,0.193756634,0.529081708,0.056455207,0.257019723,0.491148434,0.528667143,0.031834438,0.033962329
1,0.22289084,0.155168457,0.109907735,0.08559125,0.655027004,0.674269422,0.697409928,0.063544256,0.062350526,0.062796425,0.061371653,0.694924585,0.025232162,0.446309416,0.67135724,0.631384232,0.015259741,0.011279293
1,0.205332772,0.169145094,0.117273329,0.088485812,0.623772892,0.651796397,0.685171459,0.067569373,0.063057058,0.062170483,0.059528129,0.636867911,0.049222611,0.332412268,0.544711757,0.679590791,0.030454811,0.013785941
1,0.369669543,0.202184076,0.150745513,0.12195122,0.556051148,0.554316683,0.571861613,0.160725939,0.161662355,0.165994212,0.166893354,0.651030019,0.035105704,0.375786766,0.603722197,0.550701017,0.013321514,0.04003574
1,0.217615706,0.156593904,0.120232024,0.100479264,0.649829691,0.634986765,0.636884979,0.065270318,0.062828153,0.06138565,0.059006042,0.752243204,0.022446491,0.50422146,0.706309578,0.674704867,0.011362001,0.013219417
1,0.17505839,0.164131866,0.110978316,0.084203284,0.632973541,0.662308357,0.695511751,0.04818676,0.043284114,0.044119406,0.045091033,0.570420963,0.072889619,0.254171793,0.457557876,0.917312626,0.057245686,0.01224772
1,0.255984315,0.180596997,0.141702028,0.116173958,0.621633458,0.609902973,0.630618398,0.088202944,0.084694135,0.083610903,0.082219767,0.587226757,0.043903355,0.311364577,0.547435315,0.447441427,0.023554365,0.019231653
1,0.300048558,0.163503703,0.128446296,0.10607858,0.639499896,0.614314433,0.61882197,0.115525371,0.115067871,0.117495104,0.118239779,0.467324029,0.092420197,0.191398179,0.396731729,0.445706976,0.051252684,0.031715247
1,0.285298705,0.18834032,0.148429167,0.128796147,0.580849138,0.558989457,0.554760693,0.122271057,0.121386754,0.121822337,0.119201633,0.549605869,0.054119515,0.267855069,0.498865184,0.54188816,0.030632368,0.027692247
